date,views
2015-09-15,1559
2015-09-16,1942
2015-09-17,1212
2015-09-18,1535
2015-09-19,1607
2015-09-20,1613
2015-09-21,2099
2015-09-22,1863
2015-09-23,1572
2015-09-24,1554
2015-09-25,1765
2015-09-26,1355
2015-09-27,1863
2015-09-28,1462
2015-09-29,1251
2015-09-30,1120
2015-10-01,1138
2015-10-02,1204
2015-10-03,1007
2015-10-04,1041
2015-10-05,1184
2015-10-06,1142
2015-10-07,1142
2015-10-08,1029
2015-10-09,912
2015-10-10,848
2015-10-11,940
2015-10-12,1005
2015-10-13,1090
2015-10-14,981
2015-10-15,979
2015-10-16,1008
2015-10-17,805
2015-10-18,1020
2015-10-19,1093
2015-10-20,945
2015-10-21,1064
2015-10-22,1180
2015-10-23,1127
2015-10-24,1000
2015-10-25,995
2015-10-26,1145
2015-10-27,3507
2015-10-28,5753
2015-10-29,3579
2015-10-30,2557
2015-10-31,2138
2015-11-01,2278
2015-11-02,2789
2015-11-03,2602
2015-11-04,2309
2015-11-05,2250
2015-11-06,1857
2015-11-07,1620
2015-11-08,1856
2015-11-09,1896
2015-11-10,1682
2015-11-11,1839
2015-11-12,1797
2015-11-13,1470
2015-11-14,1273
2015-11-15,1563
2015-11-16,1775
2015-11-17,1643
2015-11-18,1551
2015-11-19,1558
2015-11-20,1594
2015-11-21,1374
2015-11-22,1528
2015-11-23,1768
2015-11-24,1644
2015-11-25,1611
2015-11-26,1635
2015-11-27,1705
2015-11-28,1646
2015-11-29,1785
2015-11-30,1864
2015-12-01,1851
2015-12-02,1884
2015-12-03,1626
2015-12-04,1813
2015-12-05,2886
2015-12-06,5222
2015-12-07,3968
2015-12-08,2879
2015-12-09,2480
2015-12-10,2411
2015-12-11,2217
2015-12-12,2202
2015-12-13,2307
2015-12-14,2542
2015-12-15,2450
2015-12-16,2652
2015-12-17,2323
2015-12-18,1899
2015-12-19,1754
2015-12-20,1943
2015-12-21,2103
2015-12-22,2138
2015-12-23,2176
2015-12-24,1818
2015-12-25,1939
2015-12-26,2168
2015-12-27,2310
2015-12-28,2621
2015-12-29,2555
2015-12-30,2696
2015-12-31,2274
2016-01-01,2657
2016-01-02,2603
2016-01-03,2813
2016-01-04,3305
2016-01-05,3489
2016-01-06,6795
2016-01-07,8603
2016-01-08,5189
2016-01-09,3516
2016-01-10,3215
2016-01-11,3376
2016-01-12,2853
2016-01-13,2643
2016-01-14,2635
2016-01-15,2542
2016-01-16,1961
2016-01-17,2224
2016-01-18,2336
2016-01-19,2447
2016-01-20,2285
2016-01-21,2016
2016-01-22,1827
2016-01-23,1594
2016-01-24,1967
2016-01-25,1988
2016-01-26,2106
2016-01-27,1993
2016-01-28,2153
2016-01-29,1843
2016-01-30,1641
2016-01-31,1850
2016-02-01,2046
2016-02-02,1570
2016-02-03,1566
2016-02-04,1463
2016-02-05,1361
2016-02-06,1354
2016-02-07,1534
2016-02-08,1650
2016-02-09,1645
2016-02-10,1670
2016-02-11,1766
2016-02-12,1350
2016-02-13,1296
2016-02-14,1310
2016-02-15,1490
2016-02-16,1967
2016-02-17,1857
2016-02-18,1716
2016-02-19,1239
2016-02-20,1307
2016-02-21,1793
2016-02-22,2349
2016-02-23,2294
2016-02-24,2141
2016-02-25,1871
2016-02-26,1561
2016-02-27,1602
2016-02-28,1688
2016-02-29,2285
2016-03-01,2294
2016-03-02,2320
2016-03-03,1966
2016-03-04,1883
2016-03-05,1905
2016-03-06,1685
2016-03-07,2017
2016-03-08,1902
2016-03-09,1799
2016-03-10,2000
2016-03-11,1849
2016-03-12,1463
2016-03-13,1717
2016-03-14,1978
2016-03-15,4575
2016-03-16,11375
2016-03-17,5965
2016-03-18,5085
2016-03-19,3495
2016-03-20,3406
2016-03-21,3332
2016-03-22,3745
2016-03-23,3813
2016-03-24,3152
2016-03-25,2610
2016-03-26,2162
2016-03-27,2294
2016-03-28,3694
2016-03-29,4094
2016-03-30,2939
2016-03-31,2639
2016-04-01,2235
2016-04-02,2185
2016-04-03,2086
2016-04-04,2185
2016-04-05,2700
2016-04-06,2355
2016-04-07,2018
2016-04-08,1939
2016-04-09,1608
2016-04-10,1631
2016-04-11,1725
2016-04-12,1747
2016-04-13,1529
2016-04-14,1546
2016-04-15,1394
2016-04-16,1287
2016-04-17,1445
2016-04-18,1677
2016-04-19,1773
2016-04-20,1559
2016-04-21,1570
2016-04-22,1440
2016-04-23,1496
2016-04-24,1558
2016-04-25,1653
2016-04-26,1450
2016-04-27,1427
2016-04-28,1578
2016-04-29,1285
2016-04-30,1094
2016-05-01,1316
2016-05-02,1449
2016-05-03,1422
2016-05-04,1189
2016-05-05,1219
2016-05-06,1129
2016-05-07,1091
2016-05-08,1355
2016-05-09,1468
2016-05-10,1261
2016-05-11,1213
2016-05-12,1075
2016-05-13,1095
2016-05-14,1044
2016-05-15,1152
2016-05-16,1275
2016-05-17,1197
2016-05-18,1277
2016-05-19,1440
2016-05-20,1392
2016-05-21,1119
2016-05-22,1210
2016-05-23,1245
2016-05-24,1190
2016-05-25,1135
2016-05-26,1190
2016-05-27,1009
2016-05-28,996
2016-05-29,1094
2016-05-30,1024
2016-05-31,1174
2016-06-01,1126
2016-06-02,1042
2016-06-03,1030
2016-06-04,931
2016-06-05,952
2016-06-06,1207
2016-06-07,1125
2016-06-08,1197
2016-06-09,1206
2016-06-10,1573
2016-06-11,1456
2016-06-12,1338
2016-06-13,1887
2016-06-14,11631
2016-06-15,7173
2016-06-16,4916
2016-06-17,3615
2016-06-18,3131
2016-06-19,2986
2016-06-20,2816
2016-06-21,2620
2016-06-22,2034
2016-06-23,2031
2016-06-24,1663
2016-06-25,1602
2016-06-26,1723
2016-06-27,1746
2016-06-28,1728
2016-06-29,1785
2016-06-30,1697
2016-07-01,1516
2016-07-02,1360
2016-07-03,1370
2016-07-04,1485
2016-07-05,1619
2016-07-06,1440
2016-07-07,1471
2016-07-08,1418
2016-07-09,1376
2016-07-10,1453
2016-07-11,1509
2016-07-12,1445
2016-07-13,1278
2016-07-14,1271
2016-07-15,1231
2016-07-16,1121
2016-07-17,1190
2016-07-18,1270
2016-07-19,1339
2016-07-20,1350
2016-07-21,1311
2016-07-22,1110
2016-07-23,1062
2016-07-24,1086
2016-07-25,1251
2016-07-26,1293
2016-07-27,1194
2016-07-28,1632
2016-07-29,1651
2016-07-30,1460
2016-07-31,1177
2016-08-01,1308
2016-08-02,1291
2016-08-03,1311
2016-08-04,1341
2016-08-05,1355
2016-08-06,1233
2016-08-07,1148
2016-08-08,1383
2016-08-09,1285
2016-08-10,2114
2016-08-11,1305
2016-08-12,1218
2016-08-13,1102
2016-08-14,1125
2016-08-15,1511
2016-08-16,1508
2016-08-17,1377
2016-08-18,1580
2016-08-19,1435
2016-08-20,1248
2016-08-21,1462
2016-08-22,1660
2016-08-23,1735
2016-08-24,1816
2016-08-25,1827
2016-08-26,1761
2016-08-27,1572
2016-08-28,1780
2016-08-29,1969
2016-08-30,1795
2016-08-31,2756
2016-09-01,2603
2016-09-02,1670
2016-09-03,1407
2016-09-04,1555
2016-09-05,1658
2016-09-06,1658
2016-09-07,2217
2016-09-08,2687
2016-09-09,2172
2016-09-10,1711
2016-09-11,1776
2016-09-12,1858
2016-09-13,2060
2016-09-14,1908
2016-09-15,2069
2016-09-16,4437
2016-09-17,2603
2016-09-18,2822
2016-09-19,2643
2016-09-20,2585
2016-09-21,2401
2016-09-22,2615
2016-09-23,2355
2016-09-24,2526
2016-09-25,2776
2016-09-26,2792
2016-09-27,2423
2016-09-28,2646
2016-09-29,2771
2016-09-30,3524
2016-10-01,3494
2016-10-02,3943
2016-10-03,3843
2016-10-04,3155
2016-10-05,4776
2016-10-06,4026
2016-10-07,3523
2016-10-08,3229
2016-10-09,3342
2016-10-10,3878
2016-10-11,5087
2016-10-12,5609
2016-10-13,9774
2016-10-14,8395
