date,views
2020-02-14,18
2020-02-15,14
2020-02-16,17
2020-02-17,13
2020-02-18,24
2020-02-19,22
2020-02-20,15
2020-02-21,17
2020-02-22,20
2020-02-23,19
2020-02-24,12
2020-02-25,13
2020-02-26,15
2020-02-27,17
2020-02-28,12
2020-02-29,25
2020-03-01,20
2020-03-02,22
2020-03-03,17
2020-03-04,21
2020-03-05,14
2020-03-06,9
2020-03-07,10
2020-03-08,14
2020-03-09,10
2020-03-10,15
2020-03-11,18
2020-03-12,16
2020-03-13,13
2020-03-14,16
2020-03-15,16
2020-03-16,14
2020-03-17,17
2020-03-18,15
2020-03-19,15
2020-03-20,15
2020-03-21,22
2020-03-22,17
2020-03-23,19
2020-03-24,32
2020-03-25,22
2020-03-26,12
2020-03-27,14
2020-03-28,16
2020-03-29,16
2020-03-30,9
2020-03-31,18
2020-04-01,21
2020-04-02,11
2020-04-03,22
2020-04-04,28
2020-04-05,27
2020-04-06,19
2020-04-07,19
2020-04-08,10
2020-04-09,23
2020-04-10,14
2020-04-11,27
2020-04-12,32
2020-04-13,27
2020-04-14,22
2020-04-15,34
2020-04-16,32
2020-04-17,21
2020-04-18,40
2020-04-19,27
2020-04-20,32
2020-04-21,33
2020-04-22,28
2020-04-23,28
2020-04-24,27
2020-04-25,28
2020-04-26,36
2020-04-27,17
2020-04-28,18
2020-04-29,21
2020-04-30,21
2020-05-01,27
2020-05-02,21
2020-05-03,21
2020-05-04,15
2020-05-05,27
2020-05-06,26
2020-05-07,15
2020-05-08,12
2020-05-09,26
2020-05-10,25
2020-05-11,15
2020-05-12,18
2020-05-13,30
2020-05-14,15
2020-05-15,23
2020-05-16,22
2020-05-17,34
2020-05-18,21
2020-05-19,19
2020-05-20,30
2020-05-21,23
2020-05-22,25
2020-05-23,18
2020-05-24,26
2020-05-25,16
2020-05-26,19
2020-05-27,18
2020-05-28,9
2020-05-29,16
2020-05-30,15
2020-05-31,33
2020-06-01,11
2020-06-02,14
2020-06-03,21
2020-06-04,21
2020-06-05,20
2020-06-06,16
2020-06-07,14
2020-06-08,15
2020-06-09,19
2020-06-10,27
2020-06-11,24
2020-06-12,16
2020-06-13,20
2020-06-14,13
2020-06-15,29
2020-06-16,24
2020-06-17,12
2020-06-18,20
2020-06-19,14
2020-06-20,26
2020-06-21,41
2020-06-22,8
2020-06-23,17
2020-06-24,13
2020-06-25,13
2020-06-26,15
2020-06-27,10
2020-06-28,16
2020-06-29,21
2020-06-30,17
2020-07-01,16
2020-07-02,15
2020-07-03,21
2020-07-04,17
2020-07-05,16
2020-07-06,8
2020-07-07,24
2020-07-08,19
2020-07-09,11
2020-07-10,22
2020-07-11,11
2020-07-12,19
2020-07-13,14
2020-07-14,11
2020-07-15,21
2020-07-16,9
2020-07-17,21
2020-07-18,20
2020-07-19,15
2020-07-20,19
2020-07-21,23
2020-07-22,16
2020-07-23,11
2020-07-24,19
2020-07-25,22
2020-07-26,14
2020-07-27,22
2020-07-28,17
2020-07-29,24
2020-07-30,10
2020-07-31,18
2020-08-01,22
2020-08-02,14
2020-08-03,11
2020-08-04,7
2020-08-05,10
2020-08-06,12
2020-08-07,10
2020-08-08,15
2020-08-09,11
2020-08-10,10
2020-08-11,13
2020-08-12,6
2020-08-13,6
2020-08-14,6
2020-08-15,22
2020-08-16,14
2020-08-17,13
2020-08-18,21
2020-08-19,10
2020-08-20,17
2020-08-21,12
2020-08-22,15
2020-08-23,18
2020-08-24,11
2020-08-25,14
2020-08-26,14
2020-08-27,11
2020-08-28,15
2020-08-29,12
2020-08-30,15
2020-08-31,10
2020-09-01,11
2020-09-02,12
2020-09-03,10
2020-09-04,14
2020-09-05,8
2020-09-06,11
2020-09-07,15
2020-09-08,43
2020-09-09,37
2020-09-10,29
2020-09-11,28
2020-09-12,22
2020-09-13,13
2020-09-14,17
2020-09-15,13
2020-09-16,14
2020-09-17,14
2020-09-18,28
2020-09-19,19
2020-09-20,11
2020-09-21,16
2020-09-22,15
2020-09-23,13
2020-09-24,48
2020-09-25,58
2020-09-26,21
2020-09-27,17
2020-09-28,15
2020-09-29,34
2020-09-30,25
2020-10-01,26
2020-10-02,23
2020-10-03,41
2020-10-04,22
2020-10-05,36
2020-10-06,32
2020-10-07,23
2020-10-08,13
2020-10-09,9
2020-10-10,19
2020-10-11,28
2020-10-12,21
2020-10-13,15
2020-10-14,19
2020-10-15,9
2020-10-16,23
2020-10-17,40
2020-10-18,24
2020-10-19,12
2020-10-20,18
2020-10-21,22
2020-10-22,19
2020-10-23,16
2020-10-24,45
2020-10-25,33
2020-10-26,37
2020-10-27,27
2020-10-28,24
2020-10-29,36
2020-10-30,21
2020-10-31,27
2020-11-01,30
2020-11-02,48
2020-11-03,29
2020-11-04,24
2020-11-05,17
2020-11-06,27
2020-11-07,52
2020-11-08,76
2020-11-09,91
2020-11-10,50
2020-11-11,28
2020-11-12,36
2020-11-13,125
2020-11-14,258
2020-11-15,271
2020-11-16,168
2020-11-17,130
2020-11-18,164
2020-11-19,153
2020-11-20,185
2020-11-21,259
2020-11-22,175
2020-11-23,163
2020-11-24,191
2020-11-25,135
2020-11-26,127
2020-11-27,218
2020-11-28,346
2020-11-29,235
2020-11-30,231
2020-12-01,261
2020-12-02,231
2020-12-03,233
2020-12-04,377
2020-12-05,411
2020-12-06,487
2020-12-07,464
2020-12-08,331
2020-12-09,263
2020-12-10,255
2020-12-11,415
2020-12-12,481
2020-12-13,433
2020-12-14,279
2020-12-15,240
2020-12-16,525
2020-12-17,519
2020-12-18,681
2020-12-19,454
2020-12-20,502
2020-12-21,447
2020-12-22,489
2020-12-23,420
2020-12-24,149
2020-12-25,348
2020-12-26,274
2020-12-27,234
2020-12-28,167
2020-12-29,178
2020-12-30,122
2020-12-31,193
2021-01-01,88
2021-01-02,73
2021-01-03,51
2021-01-04,55
2021-01-05,39
2021-01-06,40
2021-01-07,28
2021-01-08,45
2021-01-09,68
2021-01-10,53
2021-01-11,49
2021-01-12,54
2021-01-13,33
2021-01-14,22
2021-01-15,35
2021-01-16,17
2021-01-17,26
2021-01-18,17
2021-01-19,23
2021-01-20,12
2021-01-21,12
2021-01-22,21
2021-01-23,30
2021-01-24,31
2021-01-25,19
2021-01-26,15
2021-01-27,22
2021-01-28,29
2021-01-29,39
2021-01-30,55
2021-01-31,37
2021-02-01,28
2021-02-02,29
2021-02-03,34
2021-02-04,32
2021-02-05,42
2021-02-06,37
2021-02-07,30
2021-02-08,28
2021-02-09,18
2021-02-10,22
2021-02-11,29
2021-02-12,41
2021-02-13,51
2021-02-14,35
2021-02-15,34
2021-02-16,21
2021-02-17,24
2021-02-18,26
2021-02-19,33
2021-02-20,52
2021-02-21,32
2021-02-22,21
2021-02-23,25
2021-02-24,36
2021-02-25,29
2021-02-26,31
2021-02-27,49
2021-02-28,31
2021-03-01,28
2021-03-02,29
2021-03-03,35
2021-03-04,24
2021-03-05,33
2021-03-06,42
2021-03-07,31
2021-03-08,20
2021-03-09,26
2021-03-10,35
2021-03-11,25
2021-03-12,23
2021-03-13,28
2021-03-14,38
2021-03-15,20
2021-03-16,18
2021-03-17,25
2021-03-18,17
2021-03-19,30
2021-03-20,36
2021-03-21,36
2021-03-22,21
2021-03-23,14
2021-03-24,28
2021-03-25,24
2021-03-26,31
2021-03-27,30
2021-03-28,27
2021-03-29,20
2021-03-30,26
2021-03-31,27
2021-04-01,20
2021-04-02,19
2021-04-03,29
2021-04-04,38
2021-04-05,10
2021-04-06,12
2021-04-07,18
2021-04-08,27
2021-04-09,20
2021-04-10,40
2021-04-11,33
2021-04-12,22
2021-04-13,35
2021-04-14,37
2021-04-15,31
2021-04-16,24
2021-04-17,33
2021-04-18,27
2021-04-19,35
2021-04-20,27
2021-04-21,26
2021-04-22,44
2021-04-23,16
2021-04-24,23
2021-04-25,18
2021-04-26,24
2021-04-27,24
2021-04-28,26
2021-04-29,22
2021-04-30,14
2021-05-01,33
2021-05-02,39
2021-05-03,35
2021-05-04,19
2021-05-05,16
2021-05-06,21
2021-05-07,28
2021-05-08,24
2021-05-09,43
2021-05-10,25
2021-05-11,38
2021-05-12,34
2021-05-13,13
2021-05-14,37
2021-05-15,34
2021-05-16,13
2021-05-17,20
2021-05-18,25
2021-05-19,18
2021-05-20,15
2021-05-21,22
2021-05-22,23
2021-05-23,32
2021-05-24,37
2021-05-25,19
2021-05-26,15
2021-05-27,23
2021-05-28,18
2021-05-29,32
2021-05-30,47
2021-05-31,27
2021-06-01,32
2021-06-02,46
2021-06-03,27
2021-06-04,62
2021-06-05,25
2021-06-06,19
2021-06-07,24
2021-06-08,21
2021-06-09,15
2021-06-10,21
2021-06-11,28
2021-06-12,12
2021-06-13,8
2021-06-14,12
2021-06-15,18
2021-06-16,17
2021-06-17,22
2021-06-18,34
2021-06-19,14
2021-06-20,18
2021-06-21,22
2021-06-22,30
2021-06-23,28
2021-06-24,29
2021-06-25,33
2021-06-26,20
2021-06-27,19
2021-06-28,18
2021-06-29,14
2021-06-30,9
2021-07-01,33
2021-07-02,33
2021-07-03,18
2021-07-04,10
2021-07-05,29
2021-07-06,29
2021-07-07,23
2021-07-08,16
2021-07-09,19
2021-07-10,20
2021-07-11,29
2021-07-12,14
2021-07-13,18
2021-07-14,20
2021-07-15,17
2021-07-16,10
2021-07-17,14
2021-07-18,41
2021-07-19,22
2021-07-20,20
2021-07-21,33
2021-07-22,20
2021-07-23,9
2021-07-24,17
2021-07-25,7
2021-07-26,14
2021-07-27,19
2021-07-28,24
2021-07-29,36
2021-07-30,20
2021-07-31,16
2021-08-01,26
2021-08-02,18
2021-08-03,34
2021-08-04,27
2021-08-05,23
2021-08-06,36
2021-08-07,29
2021-08-08,14
2021-08-09,12
2021-08-10,18
2021-08-11,22
2021-08-12,15
2021-08-13,16
2021-08-14,10
2021-08-15,13
2021-08-16,22
2021-08-17,17
2021-08-18,26
2021-08-19,32
2021-08-20,24
2021-08-21,22
2021-08-22,29
2021-08-23,8
2021-08-24,31
2021-08-25,19
2021-08-26,25
2021-08-27,21
2021-08-28,17
2021-08-29,14
2021-08-30,19
2021-08-31,17
2021-09-01,23
2021-09-02,24
2021-09-03,16
2021-09-04,22
2021-09-05,20
2021-09-06,11
2021-09-07,19
2021-09-08,16
2021-09-09,18
2021-09-10,18
2021-09-11,17
2021-09-12,17
2021-09-13,13
2021-09-14,15
2021-09-15,17
2021-09-16,26
2021-09-17,18
2021-09-18,22
2021-09-19,24
2021-09-20,19
2021-09-21,28
2021-09-22,20
2021-09-23,22
2021-09-24,18
2021-09-25,13
2021-09-26,22
2021-09-27,16
2021-09-28,16
2021-09-29,18
2021-09-30,28
2021-10-01,29
2021-10-02,42
2021-10-03,23
2021-10-04,16
2021-10-05,20
2021-10-06,24
2021-10-07,20
2021-10-08,22
2021-10-09,15
2021-10-10,14
2021-10-11,23
2021-10-12,18
2021-10-13,22
2021-10-14,20
2021-10-15,23
2021-10-16,17
2021-10-17,16
2021-10-18,16
2021-10-19,20
2021-10-20,25
2021-10-21,16
2021-10-22,25
2021-10-23,25
2021-10-24,26
2021-10-25,26
2021-10-26,16
2021-10-27,19
2021-10-28,18
2021-10-29,26
2021-10-30,20
2021-10-31,23
2021-11-01,26
2021-11-02,25
2021-11-03,26
2021-11-04,38
2021-11-05,13
2021-11-06,15
2021-11-07,27
2021-11-08,45
2021-11-09,54
2021-11-10,46
2021-11-11,43
2021-11-12,64
2021-11-13,51
2021-11-14,47
2021-11-15,39
2021-11-16,25
2021-11-17,38
2021-11-18,55
2021-11-19,48
2021-11-20,58
2021-11-21,56
2021-11-22,26
2021-11-23,30
2021-11-24,35
2021-11-25,28
2021-11-26,43
2021-11-27,67
2021-11-28,68
2021-11-29,81
2021-11-30,40
2021-12-01,48
2021-12-02,51
2021-12-03,54
2021-12-04,66
2021-12-05,77
2021-12-06,59
2021-12-07,36
2021-12-08,48
2021-12-09,56
2021-12-10,64
2021-12-11,68
2021-12-12,63
2021-12-13,40
2021-12-14,42
2021-12-15,28
2021-12-16,42
2021-12-17,72
2021-12-18,75
2021-12-19,117
2021-12-20,68
2021-12-21,65
2021-12-22,52
2021-12-23,48
2021-12-24,69
2021-12-25,100
2021-12-26,110
2021-12-27,84
2021-12-28,77
2021-12-29,78
2021-12-30,98
2021-12-31,133
2022-01-01,100
2022-01-02,103
2022-01-03,59
2022-01-04,32
2022-01-05,30
2022-01-06,41
2022-01-07,54
2022-01-08,65
2022-01-09,47
2022-01-10,42
2022-01-11,43
2022-01-12,47
2022-01-13,34
2022-01-14,51
2022-01-15,55
2022-01-16,45
2022-01-17,57
2022-01-18,56
2022-01-19,44
2022-01-20,52
2022-01-21,61
2022-01-22,51
2022-01-23,47
2022-01-24,54
2022-01-25,42
2022-01-26,27
2022-01-27,73
2022-01-28,35
2022-01-29,39
2022-01-30,46
2022-01-31,65
2022-02-01,41
2022-02-02,34
2022-02-03,25
2022-02-04,25
2022-02-05,26
2022-02-06,28
2022-02-07,23
2022-02-08,23
2022-02-09,24
2022-02-10,27
2022-02-11,29
2022-02-12,43
2022-02-13,23
2022-02-14,39
2022-02-15,35
2022-02-16,30
2022-02-17,23
2022-02-18,27
2022-02-19,33
2022-02-20,28
2022-02-21,33
2022-02-22,27
2022-02-23,35
2022-02-24,25
2022-02-25,24
2022-02-26,22
2022-02-27,29
2022-02-28,37
2022-03-01,35
2022-03-02,19
2022-03-03,23
2022-03-04,37
2022-03-05,35
2022-03-06,28
2022-03-07,22
2022-03-08,25
2022-03-09,17
2022-03-10,34
2022-03-11,20
2022-03-12,29
2022-03-13,28
2022-03-14,25
2022-03-15,23
2022-03-16,52
2022-03-17,11
2022-03-18,18
2022-03-19,38
2022-03-20,28
2022-03-21,20
2022-03-22,19
2022-03-23,22
2022-03-24,15
2022-03-25,23
2022-03-26,16
2022-03-27,33
2022-03-28,19
2022-03-29,18
2022-03-30,16
2022-03-31,32
2022-04-01,16
2022-04-02,17
2022-04-03,27
2022-04-04,30
2022-04-05,17
2022-04-06,29
2022-04-07,27
2022-04-08,25
2022-04-09,21
2022-04-10,24
2022-04-11,28
2022-04-12,16
2022-04-13,16
2022-04-14,20
2022-04-15,25
2022-04-16,28
2022-04-17,14
2022-04-18,11
2022-04-19,26
