date,views
2026-04-03,16
2026-04-04,112
2026-04-05,125
2026-04-06,139
2026-04-07,222
2026-04-08,206
2026-04-09,190
2026-04-10,182
2026-04-11,162
2026-04-12,134
2026-04-13,117
2026-04-14,127
2026-04-15,120
2026-04-16,86
2026-04-17,137
2026-04-18,137
2026-04-19,83
2026-04-20,85
2026-04-21,53
2026-04-22,78
2026-04-23,70
2026-04-24,53
2026-04-25,97
2026-04-26,78
2026-04-27,89
2026-04-28,59
2026-04-29,67
2026-04-30,77
2026-05-01,88
2026-05-02,158
2026-05-03,115
2026-05-04,99
2026-05-05,94
2026-05-06,91
2026-05-07,99
2026-05-08,101
2026-05-09,107
2026-05-10,134
2026-05-11,163
2026-05-12,145
2026-05-13,138
2026-05-14,131
2026-05-15,125
2026-05-16,104
2026-05-17,119
2026-05-18,115
2026-05-19,113
2026-05-20,110
2026-05-21,114
2026-05-22,116
2026-05-23,119
2026-05-24,120
2026-05-25,99
2026-05-26,112
2026-05-27,103
2026-05-28,141
2026-05-29,112
2026-05-30,104
2026-05-31,107
2026-06-01,125
2026-06-02,163
2026-06-03,112
2026-06-04,121
2026-06-05,156
2026-06-06,112
2026-06-07,137
2026-06-08,155
2026-06-09,110
2026-06-10,108
2026-06-11,112
2026-06-12,93
2026-06-13,106
2026-06-14,115
2026-06-15,123
2026-06-16,118
2026-06-17,117
2026-06-18,108
2026-06-19,77
2026-06-20,77
2026-06-21,103
2026-06-22,86
2026-06-23,99
2026-06-24,132
2026-06-25,127
2026-06-26,138
2026-06-27,98
2026-06-28,102
2026-06-29,80
2026-06-30,111
2026-07-01,88
