date,views
2019-11-09,1
2020-02-04,37
2020-02-05,26
2020-02-06,35
2020-02-07,28
2020-02-08,23
2020-02-09,26
2020-02-10,34
2020-02-11,41
2020-02-12,45
2020-02-13,30
2020-02-14,20
2020-02-15,38
2020-02-16,32
2020-02-17,21
2020-02-18,36
2020-02-19,33
2020-02-20,35
2020-02-21,31
2020-02-22,26
2020-02-23,27
2020-02-24,31
2020-02-25,26
2020-02-26,25
2020-02-27,31
2020-02-28,22
2020-02-29,32
2020-03-01,38
2020-03-02,25
2020-03-03,24
2020-03-04,29
2020-03-05,24
2020-03-06,21
2020-03-07,25
2020-03-08,9
2020-03-09,27
2020-03-10,32
2020-03-11,29
2020-03-12,19
2020-03-13,17
2020-03-14,17
2020-03-15,15
2020-03-16,19
2020-03-17,13
2020-03-18,15
2020-03-19,12
2020-03-20,20
2020-03-21,17
2020-03-22,22
2020-03-23,22
2020-03-24,21
2020-03-25,14
2020-03-26,15
2020-03-27,12
2020-03-28,23
2020-03-29,25
2020-03-30,14
2020-03-31,16
2020-04-01,20
2020-04-02,17
2020-04-03,24
2020-04-04,10
2020-04-05,15
2020-04-06,21
2020-04-07,23
2020-04-08,19
2020-04-09,18
2020-04-10,14
2020-04-11,16
2020-04-12,24
2020-04-13,26
2020-04-14,22
2020-04-15,12
2020-04-16,16
2020-04-17,23
2020-04-18,24
2020-04-19,30
2020-04-20,18
2020-04-21,26
2020-04-22,36
2020-04-23,18
2020-04-24,32
2020-04-25,25
2020-04-26,37
2020-04-27,21
2020-04-28,26
2020-04-29,23
2020-04-30,22
2020-05-01,16
2020-05-02,29
2020-05-03,33
2020-05-04,21
2020-05-05,30
2020-05-06,26
2020-05-07,11
2020-05-08,19
2020-05-09,19
2020-05-10,32
2020-05-11,28
2020-05-12,18
2020-05-13,28
2020-05-14,34
2020-05-15,26
2020-05-16,19
2020-05-17,29
2020-05-18,30
2020-05-19,23
2020-05-20,24
2020-05-21,34
2020-05-22,22
2020-05-23,13
2020-05-24,21
2020-05-25,19
2020-05-26,17
2020-05-27,21
2020-05-28,19
2020-05-29,25
2020-05-30,17
2020-05-31,26
2020-06-01,18
2020-06-02,12
2020-06-03,22
2020-06-04,20
2020-06-05,18
2020-06-06,17
2020-06-07,26
2020-06-08,26
2020-06-09,11
2020-06-10,22
2020-06-11,16
2020-06-12,16
2020-06-13,23
2020-06-14,15
2020-06-15,15
2020-06-16,29
2020-06-17,29
2020-06-18,23
2020-06-19,23
2020-06-20,25
2020-06-21,20
2020-06-22,24
2020-06-23,23
2020-06-24,23
2020-06-25,22
2020-06-26,19
2020-06-27,16
2020-06-28,17
2020-06-29,23
2020-06-30,13
2020-07-01,18
2020-07-02,14
2020-07-03,25
2020-07-04,20
2020-07-05,23
2020-07-06,17
2020-07-07,16
2020-07-08,16
2020-07-09,13
2020-07-10,19
2020-07-11,15
2020-07-12,11
2020-07-13,17
2020-07-14,22
2020-07-15,11
2020-07-16,19
2020-07-17,24
2020-07-18,19
2020-07-19,21
2020-07-20,14
2020-07-21,17
2020-07-22,11
2020-07-23,18
2020-07-24,11
2020-07-25,18
2020-07-26,17
2020-07-27,18
2020-07-28,15
2020-07-29,15
2020-07-30,25
2020-07-31,17
2020-08-01,11
2020-08-02,12
2020-08-03,31
2020-08-04,164
2020-08-05,98
2020-08-06,186
2020-08-07,89
2020-08-08,104
2020-08-09,106
2020-08-10,80
2020-08-11,95
2020-08-12,69
2020-08-13,82
2020-08-14,85
2020-08-15,83
2020-08-16,87
2020-08-17,110
2020-08-18,84
2020-08-19,93
2020-08-20,156
2020-08-21,126
2020-08-22,106
2020-08-23,135
2020-08-24,106
2020-08-25,128
2020-08-26,87
2020-08-27,87
2020-08-28,83
2020-08-29,84
2020-08-30,80
2020-08-31,82
2020-09-01,84
2020-09-02,67
2020-09-03,92
2020-09-04,52
2020-09-05,74
2020-09-06,81
2020-09-07,54
2020-09-08,71
2020-09-09,66
2020-09-10,103
2020-09-11,61
2020-09-12,65
2020-09-13,58
2020-09-14,57
2020-09-15,75
2020-09-16,120
2020-09-17,105
2020-09-18,99
2020-09-19,65
2020-09-20,99
2020-09-21,119
2020-09-22,170
2020-09-23,102
2020-09-24,125
2020-09-25,98
2020-09-26,86
2020-09-27,94
2020-09-28,94
2020-09-29,104
2020-09-30,84
2020-10-01,92
2020-10-02,78
2020-10-03,77
2020-10-04,94
2020-10-05,88
2020-10-06,84
2020-10-07,83
2020-10-08,98
2020-10-09,75
2020-10-10,110
2020-10-11,92
2020-10-12,126
2020-10-13,150
2020-10-14,164
2020-10-15,135
2020-10-16,131
2020-10-17,107
2020-10-18,133
2020-10-19,104
2020-10-20,98
2020-10-21,118
2020-10-22,118
2020-10-23,106
2020-10-24,81
2020-10-25,110
2020-10-26,119
2020-10-27,100
2020-10-28,111
2020-10-29,112
2020-10-30,128
2020-10-31,115
2020-11-01,120
2020-11-02,125
2020-11-03,112
2020-11-04,124
2020-11-05,106
2020-11-06,80
2020-11-07,100
2020-11-08,118
2020-11-09,120
2020-11-10,113
2020-11-11,188
2020-11-12,121
2020-11-13,122
2020-11-14,131
2020-11-15,155
2020-11-16,164
2020-11-17,163
2020-11-18,156
2020-11-19,155
2020-11-20,212
2020-11-21,239
2020-11-22,216
2020-11-23,234
2020-11-24,202
2020-11-25,255
2020-11-26,288
2020-11-27,367
2020-11-28,309
2020-11-29,237
2020-11-30,248
2020-12-01,213
2020-12-02,171
2020-12-03,216
2020-12-04,190
2020-12-05,161
2020-12-06,184
2020-12-07,168
2020-12-08,177
2020-12-09,154
2020-12-10,167
2020-12-11,146
2020-12-12,188
2020-12-13,184
2020-12-14,153
2020-12-15,207
2020-12-16,168
2020-12-17,193
2020-12-18,121
2020-12-19,163
2020-12-20,169
2020-12-21,166
2020-12-22,174
2020-12-23,188
2020-12-24,213
2020-12-25,273
2020-12-26,268
2020-12-27,209
2020-12-28,213
2020-12-29,237
2020-12-30,177
2020-12-31,158
2021-01-01,156
2021-01-02,157
2021-01-03,188
2021-01-04,192
2021-01-05,173
2021-01-06,176
2021-01-07,154
2021-01-08,163
2021-01-09,152
2021-01-10,174
2021-01-11,164
2021-01-12,159
2021-01-13,168
2021-01-14,200
2021-01-15,248
2021-01-16,216
2021-01-17,190
2021-01-18,186
2021-01-19,146
2021-01-20,157
2021-01-21,195
2021-01-22,166
2021-01-23,198
2021-01-24,168
2021-01-25,190
2021-01-26,214
2021-01-27,206
2021-01-28,181
2021-01-29,174
2021-01-30,141
2021-01-31,164
2021-02-01,216
2021-02-02,194
2021-02-03,169
2021-02-04,203
2021-02-05,203
2021-02-06,190
2021-02-07,188
2021-02-08,162
2021-02-09,181
2021-02-10,169
2021-02-11,183
2021-02-12,145
2021-02-13,211
2021-02-14,179
2021-02-15,198
2021-02-16,223
2021-02-17,186
2021-02-18,183
2021-02-19,194
2021-02-20,176
2021-02-21,196
2021-02-22,208
2021-02-23,209
2021-02-24,187
2021-02-25,167
2021-02-26,176
2021-02-27,205
2021-02-28,185
2021-03-01,191
2021-03-02,127
2021-03-03,106
2021-03-04,138
2021-03-05,140
2021-03-06,154
2021-03-07,139
2021-03-08,122
2021-03-09,161
2021-03-10,129
2021-03-11,88
2021-03-12,129
2021-03-13,119
2021-03-14,120
2021-03-15,126
2021-03-16,115
2021-03-17,128
2021-03-18,104
2021-03-19,93
2021-03-20,121
2021-03-21,134
2021-03-22,150
2021-03-23,145
2021-03-24,129
2021-03-25,110
2021-03-26,121
2021-03-27,150
2021-03-28,139
2021-03-29,163
2021-03-30,145
2021-03-31,117
2021-04-01,194
2021-04-02,162
2021-04-03,145
2021-04-04,146
2021-04-05,185
2021-04-06,159
2021-04-07,121
2021-04-08,142
2021-04-09,147
2021-04-10,165
2021-04-11,185
2021-04-12,195
2021-04-13,168
2021-04-14,198
2021-04-15,160
2021-04-16,162
2021-04-17,139
2021-04-18,165
