date,views
2015-07-01,4
2015-07-02,3
2015-07-03,2
2015-07-04,5
2015-07-05,3
2015-07-06,5
2015-07-07,11
2015-07-08,4
2015-07-09,3
2015-07-10,10
2015-07-11,4
2015-07-12,3
2015-07-13,2
2015-07-14,4
2015-07-15,4
2015-07-16,8
2015-07-17,12
2015-07-18,4
2015-07-19,4
2015-07-20,3
2015-07-21,8
2015-07-22,6
2015-07-23,6
2015-07-24,3
2015-07-25,4
2015-07-26,6
2015-07-27,7
2015-07-28,8
2015-07-29,7
2015-07-30,10
2015-07-31,10
2015-08-01,8
2015-08-02,5
2015-08-03,5
2015-08-04,8
2015-08-05,12
2015-08-06,5
2015-08-07,6
2015-08-08,6
2015-08-09,7
2015-08-10,6
2015-08-11,9
2015-08-12,7
2015-08-13,7
2015-08-14,12
2015-08-15,1
2015-08-16,6
2015-08-17,3
2015-08-18,7
2015-08-19,8
2015-08-20,5
2015-08-21,9
2015-08-22,2
2015-08-23,6
2015-08-24,4
2015-08-25,7
2015-08-26,2
2015-08-27,16
2015-08-28,36
2015-08-29,16
2015-08-30,27
2015-08-31,23
2015-09-01,31
2015-09-02,16
2015-09-03,16
2015-09-04,18
2015-09-05,16
2015-09-06,20
2015-09-07,17
2015-09-08,23
2015-09-09,22
2015-09-10,16
2015-09-11,8
2015-09-12,11
2015-09-13,12
2015-09-14,14
2015-09-15,9
2015-09-16,12
2015-09-17,10
2015-09-18,12
2015-09-19,7
2015-09-20,12
2015-09-21,6
2015-09-22,11
2015-09-23,14
2015-09-24,13
2015-09-25,6
2015-09-26,4
2015-09-27,10
2015-09-28,7
2015-09-29,6
2015-09-30,12
2015-10-01,8
2015-10-02,9
2015-10-03,1
2015-10-04,6
2015-10-05,6
2015-10-06,7
2015-10-07,7
2015-10-08,4
2015-10-09,7
2015-10-10,4
2015-10-11,7
2015-10-12,9
2015-10-13,12
2015-10-14,10
2015-10-15,16
2015-10-16,41
2015-10-17,44
2015-10-18,30
2015-10-19,38
2015-10-20,27
2015-10-21,21
2015-10-22,12
2015-10-23,20
2015-10-24,15
2015-10-25,10
2015-10-26,16
2015-10-27,12
2015-10-28,3
2015-10-29,11
2015-10-30,3
2015-10-31,7
2015-11-01,5
2015-11-02,7
2015-11-03,13
2015-11-04,11
2015-11-05,15
2015-11-06,14
2015-11-07,15
2015-11-08,14
2015-11-09,12
2015-11-10,28
2015-11-11,30
2015-11-12,33
2015-11-13,16
2015-11-14,15
2015-11-15,12
2015-11-16,14
2015-11-17,13
2015-11-18,14
2015-11-19,11
2015-11-20,12
2015-11-21,10
2015-11-22,9
2015-11-23,17
2015-11-24,14
2015-11-25,15
2015-11-26,15
2015-11-27,13
2015-11-28,16
2015-11-29,5
2015-11-30,17
2015-12-01,11
2015-12-02,7
2015-12-03,7
2015-12-04,9
2015-12-05,11
2015-12-06,7
2015-12-07,9
2015-12-08,8
2015-12-09,6
2015-12-10,13
2015-12-11,10
2015-12-12,10
2015-12-13,6
2015-12-14,11
2015-12-15,12
2015-12-16,14
2015-12-17,9
2015-12-18,5
2015-12-19,4
2015-12-20,14
2015-12-21,10
2015-12-22,10
2015-12-23,14
2015-12-24,6
2015-12-25,6
2015-12-26,12
2015-12-27,16
2015-12-28,18
2015-12-29,11
2015-12-30,8
2015-12-31,6
2016-01-01,17
2016-01-02,9
2016-01-03,12
2016-01-04,9
2016-01-05,19
2016-01-06,8
2016-01-07,13
2016-01-08,9
2016-01-09,8
2016-01-10,14
2016-01-11,8
2016-01-12,11
2016-01-13,6
2016-01-14,29
2016-01-15,20
2016-01-16,9
2016-01-17,10
2016-01-18,8
2016-01-19,9
2016-01-20,6
2016-01-21,14
2016-01-22,5
2016-01-23,5
2016-01-24,11
2016-01-25,6
2016-01-26,12
2016-01-27,7
2016-01-28,11
2016-01-29,10
2016-01-30,7
2016-01-31,8
2016-02-01,5
2016-02-02,4
2016-02-03,16
2016-02-04,12
2016-02-05,7
2016-02-06,9
2016-02-07,4
2016-02-08,13
2016-02-09,10
2016-02-10,10
2016-02-11,6
2016-02-12,8
2016-02-13,5
2016-02-14,7
2016-02-15,5
2016-02-16,10
2016-02-17,9
2016-02-18,8
2016-02-19,5
2016-02-20,8
2016-02-21,4
2016-02-22,5
2016-02-23,3
2016-02-24,6
2016-02-25,6
2016-02-26,4
2016-02-27,11
2016-02-28,5
2016-02-29,6
2016-03-01,11
2016-03-02,6
2016-03-03,7
2016-03-04,2
2016-03-05,7
2016-03-06,9
2016-03-07,8
2016-03-08,5
2016-03-09,8
2016-03-10,3
2016-03-11,7
2016-03-12,4
