date,views
2017-04-19,699
2017-04-20,591
2017-04-21,765
2017-04-22,1238
2017-04-23,724
2017-04-24,580
2017-04-25,894
2017-04-26,662
2017-04-27,587
2017-04-28,567
2017-04-29,670
2017-04-30,707
2017-05-01,464
2017-05-02,492
2017-05-03,199
2017-05-04,444
2017-05-05,406
2017-05-06,343
2017-05-07,387
2017-05-08,151
2017-05-09,67
2017-05-10,59
2017-05-11,55
2017-05-12,40
2017-05-13,73
2017-05-14,73
2017-05-15,68
2017-05-16,38
2017-05-17,29
2017-05-18,36
2017-05-19,69
2017-05-20,82
2017-05-21,53
2017-05-22,57
2017-05-23,49
2017-05-24,45
2017-05-25,53
2017-05-26,62
2017-05-27,74
2017-05-28,43
2017-05-29,55
2017-05-30,31
2017-05-31,33
2017-06-01,42
2017-06-02,214
2017-06-03,101
2017-06-04,123
2017-06-05,79
2017-06-06,77
2017-06-07,78
2017-06-08,75
2017-06-09,54
2017-06-10,73
2017-06-11,72
2017-06-12,50
2017-06-13,65
2017-06-14,48
2017-06-15,53
2017-06-16,56
2017-06-17,38
2017-06-18,49
2017-06-19,51
2017-06-20,54
2017-06-21,43
2017-06-22,49
2017-06-23,54
2017-06-24,99
2017-06-25,57
2017-06-26,56
2017-06-27,78
2017-06-28,79
2017-06-29,72
2017-06-30,62
2017-07-01,75
2017-07-02,81
2017-07-03,59
2017-07-04,41
2017-07-05,20
2017-07-06,30
2017-07-07,21
2017-07-08,26
2017-07-09,37
2017-07-10,35
2017-07-11,32
2017-07-12,27
2017-07-13,36
2017-07-14,30
2017-07-15,49
2017-07-16,38
2017-07-17,22
2017-07-18,39
2017-07-19,28
2017-07-20,36
2017-07-21,29
2017-07-22,35
2017-07-23,24
2017-07-24,26
2017-07-25,28
2017-07-26,29
2017-07-27,34
2017-07-28,28
2017-07-29,54
2017-07-30,42
2017-07-31,45
2017-08-01,45
2017-08-02,53
2017-08-03,34
2017-08-04,42
2017-08-05,42
2017-08-06,53
2017-08-07,25
2017-08-08,40
2017-08-09,44
2017-08-10,42
2017-08-11,41
2017-08-12,21
2017-08-13,23
2017-08-14,31
2017-08-15,27
2017-08-16,29
2017-08-17,24
2017-08-18,27
2017-08-19,29
2017-08-20,49
2017-08-21,20
2017-08-22,35
2017-08-23,26
2017-08-24,35
2017-08-25,37
2017-08-26,52
2017-08-27,43
2017-08-28,69
2017-08-29,41
2017-08-30,27
2017-08-31,34
2017-09-01,34
2017-09-02,47
2017-09-03,44
2017-09-04,30
2017-09-05,30
2017-09-06,49
2017-09-07,38
2017-09-08,29
2017-09-09,22
2017-09-10,39
2017-09-11,33
2017-09-12,35
2017-09-13,22
2017-09-14,32
2017-09-15,30
2017-09-16,41
2017-09-17,31
2017-09-18,25
2017-09-19,41
2017-09-20,37
2017-09-21,16
2017-09-22,25
2017-09-23,40
2017-09-24,31
2017-09-25,26
2017-09-26,31
2017-09-27,24
2017-09-28,23
2017-09-29,26
2017-09-30,36
2017-10-01,31
2017-10-02,21
2017-10-03,29
2017-10-04,32
2017-10-05,33
2017-10-06,33
2017-10-07,34
2017-10-08,18
2017-10-09,31
2017-10-10,26
2017-10-11,35
2017-10-12,20
2017-10-13,23
2017-10-14,29
2017-10-15,31
2017-10-16,31
2017-10-17,106
2017-10-18,33
2017-10-19,34
2017-10-20,43
2017-10-21,50
2017-10-22,35
2017-10-23,24
2017-10-24,32
2017-10-25,38
2017-10-26,86
2017-10-27,101
2017-10-28,87
2017-10-29,59
2017-10-30,55
2017-10-31,41
2017-11-01,34
2017-11-02,21
2017-11-03,29
2017-11-04,37
2017-11-05,42
2017-11-06,30
2017-11-07,27
2017-11-08,62
2017-11-09,43
2017-11-10,32
2017-11-11,35
2017-11-12,30
2017-11-13,20
2017-11-14,19
2017-11-15,74
2017-11-16,17
2017-11-17,23
2017-11-18,35
2017-11-19,32
2017-11-20,28
2017-11-21,30
2017-11-22,30
2017-11-23,28
2017-11-24,23
2017-11-25,33
2017-11-26,48
2017-11-27,18
2017-11-28,23
2017-11-29,28
2017-11-30,26
2017-12-01,38
2017-12-02,40
2017-12-03,22
2017-12-04,40
2017-12-05,41
2017-12-06,36
2017-12-07,54
2017-12-08,70
2017-12-09,40
2017-12-10,53
2017-12-11,48
2017-12-12,47
2017-12-13,73
2017-12-14,63
2017-12-15,47
2017-12-16,83
2017-12-17,48
2017-12-18,44
2017-12-19,48
2017-12-20,41
2017-12-21,21
2017-12-22,21
2017-12-23,38
2017-12-24,30
2017-12-25,33
2017-12-26,20
2017-12-27,24
2017-12-28,34
2017-12-29,45
2017-12-30,56
2017-12-31,46
2018-01-01,37
2018-01-02,54
2018-01-03,124
2018-01-04,86
2018-01-05,45
2018-01-06,49
2018-01-07,29
2018-01-08,46
2018-01-09,39
2018-01-10,40
2018-01-11,38
2018-01-12,35
2018-01-13,35
2018-01-14,47
2018-01-15,44
2018-01-16,54
2018-01-17,78
2018-01-18,57
2018-01-19,49
2018-01-20,36
2018-01-21,61
2018-01-22,34
2018-01-23,29
2018-01-24,29
2018-01-25,29
2018-01-26,45
2018-01-27,48
2018-01-28,49
2018-01-29,35
2018-01-30,23
2018-01-31,47
2018-02-01,23
2018-02-02,30
2018-02-03,50
2018-02-04,30
2018-02-05,28
2018-02-06,16
2018-02-07,34
2018-02-08,33
2018-02-09,28
2018-02-10,32
2018-02-11,35
2018-02-12,33
2018-02-13,21
2018-02-14,33
2018-02-15,29
2018-02-16,43
2018-02-17,33
2018-02-18,47
2018-02-19,46
2018-02-20,30
2018-02-21,32
2018-02-22,27
2018-02-23,34
2018-02-24,38
2018-02-25,33
2018-02-26,27
2018-02-27,35
2018-02-28,32
2018-03-01,42
2018-03-02,39
2018-03-03,47
2018-03-04,37
2018-03-05,39
2018-03-06,33
2018-03-07,43
2018-03-08,26
2018-03-09,39
2018-03-10,25
2018-03-11,22
2018-03-12,24
2018-03-13,19
2018-03-14,24
2018-03-15,21
2018-03-16,30
2018-03-17,45
2018-03-18,57
2018-03-19,47
2018-03-20,77
2018-03-21,77
2018-03-22,136
2018-03-23,127
