date,views
2019-03-31,26
2019-04-01,67
2019-04-02,93
2019-04-03,59
2019-04-04,62
2019-04-05,68
2019-04-06,45
2019-04-07,37
2019-04-08,47
2019-04-09,52
2019-04-10,49
2019-04-11,44
2019-04-12,57
2019-04-13,57
2019-04-14,60
2019-04-15,53
2019-04-16,53
2019-04-17,61
2019-04-18,61
2019-04-19,69
2019-04-20,44
2019-04-21,56
2019-04-22,31
2019-04-23,47
2019-04-24,54
2019-04-25,38
2019-04-26,61
2019-04-27,32
2019-04-28,54
2019-04-29,50
2019-04-30,148
2019-05-01,214
2019-05-02,150
2019-05-03,105
2019-05-04,69
2019-05-05,71
2019-05-06,64
2019-05-07,46
2019-05-08,39
2019-05-09,56
2019-05-10,124
2019-05-11,81
2019-05-12,68
2019-05-13,56
2019-05-14,88
2019-05-15,53
2019-05-16,100
2019-05-17,137
2019-05-18,118
2019-05-19,130
2019-05-20,112
2019-05-21,157
2019-05-22,162
2019-05-23,166
2019-05-24,131
2019-05-25,162
2019-05-26,187
2019-05-27,175
2019-05-28,219
2019-05-29,258
2019-05-30,194
2019-05-31,184
2019-06-01,146
2019-06-02,169
2019-06-03,187
2019-06-04,178
2019-06-05,200
2019-06-06,190
2019-06-07,183
2019-06-08,211
2019-06-09,284
2019-06-10,290
2019-06-11,254
2019-06-12,266
2019-06-13,239
2019-06-14,261
2019-06-15,227
2019-06-16,235
2019-06-17,212
2019-06-18,248
2019-06-19,248
2019-06-20,214
2019-06-21,210
2019-06-22,212
2019-06-23,205
2019-06-24,282
2019-06-25,260
2019-06-26,418
2019-06-27,349
2019-06-28,1044
2019-06-29,1294
2019-06-30,473
2019-07-01,485
2019-07-02,371
2019-07-03,395
2019-07-04,333
2019-07-05,285
2019-07-06,273
2019-07-07,241
2019-07-08,217
2019-07-09,223
2019-07-10,215
2019-07-11,175
2019-07-12,154
2019-07-13,225
2019-07-14,223
2019-07-15,256
2019-07-16,240
2019-07-17,209
2019-07-18,168
2019-07-19,183
2019-07-20,216
2019-07-21,203
2019-07-22,211
2019-07-23,236
2019-07-24,438
2019-07-25,483
2019-07-26,358
2019-07-27,288
2019-07-28,298
2019-07-29,266
2019-07-30,250
2019-07-31,285
2019-08-01,243
2019-08-02,208
2019-08-03,235
2019-08-04,222
2019-08-05,197
2019-08-06,192
2019-08-07,188
2019-08-08,188
2019-08-09,191
2019-08-10,145
2019-08-11,172
2019-08-12,356
2019-08-13,549
2019-08-14,286
2019-08-15,294
2019-08-16,313
2019-08-17,187
2019-08-18,238
2019-08-19,267
2019-08-20,260
2019-08-21,297
