date,views
2020-09-12,2403
2020-09-13,6912
2020-09-14,6902
2020-09-15,6970
2020-09-16,19181
2020-09-17,31422
2020-09-18,18258
2020-09-19,14079
2020-09-20,12977
2020-09-21,14858
2020-09-22,24652
2020-09-23,15647
2020-09-24,10128
2020-09-25,8450
2020-09-26,7561
2020-09-27,7297
2020-09-28,6052
2020-09-29,5250
2020-09-30,4455
2020-10-01,3975
2020-10-02,3911
2020-10-03,3966
2020-10-04,4205
2020-10-05,4300
2020-10-06,3872
2020-10-07,4884
2020-10-08,5151
2020-10-09,4806
2020-10-10,4532
2020-10-11,4750
2020-10-12,5037
2020-10-13,4696
2020-10-14,4902
2020-10-15,6343
2020-10-16,7251
2020-10-17,7433
2020-10-18,7496
2020-10-19,7272
2020-10-20,7373
2020-10-21,7213
2020-10-22,7006
2020-10-23,6822
2020-10-24,7683
2020-10-25,8390
2020-10-26,8252
2020-10-27,9360
2020-10-28,9985
2020-10-29,8396
2020-10-30,7294
2020-10-31,6156
2020-11-01,7226
2020-11-02,7635
2020-11-03,7090
2020-11-04,5976
2020-11-05,8841
2020-11-06,8957
2020-11-07,7873
2020-11-08,8389
2020-11-09,12940
2020-11-10,24980
2020-11-11,19767
2020-11-12,18020
2020-11-13,15130
2020-11-14,12737
2020-11-15,11828
2020-11-16,10834
2020-11-17,9847
2020-11-18,9187
2020-11-19,9864
2020-11-20,8708
2020-11-21,8321
2020-11-22,8135
2020-11-23,8071
2020-11-24,7192
2020-11-25,6947
2020-11-26,7219
2020-11-27,7232
2020-11-28,6412
2020-11-29,6415
2020-11-30,6967
2020-12-01,6687
2020-12-02,6345
2020-12-03,6433
2020-12-04,5775
2020-12-05,5456
2020-12-06,5350
2020-12-07,6066
2020-12-08,5429
2020-12-09,5311
2020-12-10,5746
2020-12-11,6405
2020-12-12,5857
2020-12-13,5904
2020-12-14,5882
2020-12-15,5896
2020-12-16,5449
2020-12-17,5136
2020-12-18,5516
2020-12-19,4886
2020-12-20,5312
2020-12-21,5217
2020-12-22,4946
2020-12-23,4857
2020-12-24,4602
2020-12-25,5867
2020-12-26,5965
2020-12-27,5415
2020-12-28,5130
2020-12-29,5026
2020-12-30,4572
2020-12-31,4155
2021-01-01,4607
2021-01-02,4490
2021-01-03,4353
2021-01-04,4513
2021-01-05,4396
2021-01-06,4172
2021-01-07,3739
2021-01-08,3620
2021-01-09,3509
2021-01-10,3759
2021-01-11,3794
2021-01-12,3715
2021-01-13,3389
2021-01-14,3311
2021-01-15,3234
2021-01-16,2874
2021-01-17,3032
2021-01-18,3328
2021-01-19,3180
2021-01-20,3036
2021-01-21,3272
2021-01-22,3267
2021-01-23,3125
2021-01-24,3269
2021-01-25,3355
2021-01-26,3287
2021-01-27,3527
2021-01-28,3108
2021-01-29,2925
2021-01-30,2839
2021-01-31,3064
2021-02-01,3216
2021-02-02,3289
2021-02-03,3216
2021-02-04,3257
2021-02-05,3002
2021-02-06,2661
2021-02-07,2992
2021-02-08,2774
2021-02-09,2986
2021-02-10,2854
2021-02-11,2653
2021-02-12,2642
2021-02-13,2487
2021-02-14,2557
2021-02-15,2658
2021-02-16,2907
2021-02-17,2723
2021-02-18,2795
2021-02-19,2719
2021-02-20,2354
2021-02-21,2457
2021-02-22,2555
2021-02-23,2523
2021-02-24,3159
2021-02-25,3004
2021-02-26,3060
2021-02-27,2673
2021-02-28,3118
2021-03-01,3054
2021-03-02,3065
2021-03-03,3082
2021-03-04,3188
2021-03-05,3040
2021-03-06,2916
2021-03-07,3030
2021-03-08,2902
2021-03-09,3305
2021-03-10,3162
2021-03-11,3347
2021-03-12,3038
2021-03-13,3264
2021-03-14,3262
2021-03-15,3170
2021-03-16,3212
2021-03-17,3107
2021-03-18,3197
2021-03-19,3062
2021-03-20,2984
2021-03-21,3214
2021-03-22,3185
2021-03-23,3380
2021-03-24,3184
2021-03-25,3063
2021-03-26,3106
2021-03-27,2971
2021-03-28,3050
2021-03-29,3013
2021-03-30,2900
2021-03-31,2834
2021-04-01,2919
2021-04-02,2990
2021-04-03,2878
2021-04-04,2869
2021-04-05,3029
2021-04-06,2848
2021-04-07,2865
2021-04-08,2793
2021-04-09,2660
2021-04-10,2622
2021-04-11,2637
2021-04-12,2828
2021-04-13,2638
2021-04-14,2590
2021-04-15,2596
2021-04-16,2562
2021-04-17,2428
